"Source:","C:\Users\fafa\Desktop\Kicad\ADAU1492\Adau1492\Adau1492.kicad_sch"
"Date:","16/12/2022 10:38:52"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","170"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"R107, R112, R113, R401, R405, R406, R413, R414, R421, R501, ","10","RES_10K0_1%_0.125W_Thick_0805","RES_10K0_1%_0.125W_Thick_0805","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R108, ","1","RES_100R_1%_0.125W_Thick_0805","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R109, R402, R404, R408, R409, R411, R412, ","7","RES_33R0_1%_0.125W_Thick_0805","RES_33R0_1%_0.125W_Thick_0805-rk","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R110, R111, R416, R417, ","4","RES_2K00_1%_0.125W_Thick_0805","RES_2K00_1%_0.125W_Thick_0805-rk","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R115, R418, ","2","RES_100K_1%_0.125W_Thick_0805","RES_100K_1%_0.125W_Thick_0805-rk","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R116, ","1","RES_560R_1%_0.125W_Thick_0805","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R403, ","1","RES_4R70_1%_0.125W_Thick_0805","RES_4R70_1%_0.125W_Thick_0805-rk","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R415, ","1","RES_43R2_1%_0.125W_Thick_0805","RES_43R2_1%_0.125W_Thick_0805-rk","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R419, ","1","RES_80K6_1%_0.125W_Thick_0805","RES_80K6_1%_0.125W_Thick_0805-rk","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R420, ","1","RES_120K_1%_0.125W_Thick_0805","RES_120K_1%_0.125W_Thick_0805-rk","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"SW501, ","1","SW_Push","SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P","Push button switch, generic, two pins",""
